,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
1,Tom,Aaron,,,155,--,,5.0,3.0,0.0,
2,Danny,Abbadi,The Assassin,71.0,155,--,Orthodox,4.0,6.0,0.0,
3,David,Abbott,Tank,72.0,265,--,Switch,10.0,14.0,0.0,
4,Shamil,Abdurakhimov,Abrek,75.0,235,76.0,Orthodox,19.0,4.0,0.0,
5,Hiroyuki,Abe,Abe Ani,66.0,145,--,Orthodox,8.0,14.0,3.0,
6,Daichi,Abe,,71.0,170,71.0,Orthodox,6.0,2.0,0.0,
7,Papy,Abedi,Makambo,71.0,185,74.0,Southpaw,9.0,3.0,0.0,
8,Ricardo,Abreu,Demente,71.0,185,73.0,Orthodox,5.0,3.0,0.0,
9,Daniel,Acacio,,68.0,180,--,Orthodox,26.0,12.0,0.0,
10,Scott,Adams,,72.0,225,--,Southpaw,8.0,1.0,0.0,
11,Juan,Adams,The Kraken,77.0,265,81.0,Orthodox,5.0,0.0,0.0,
12,Anthony,Adams,Sugafoot,72.0,185,77.0,Orthodox,7.0,1.0,0.0,
13,Israel,Adesanya,The Last Stylebender,76.0,185,80.0,Switch,15.0,0.0,0.0,
14,Sam,Adkins,The Experience,75.0,225,--,Orthodox,7.0,20.0,2.0,
15,Nick,Agallar,,68.0,155,--,Orthodox,24.0,6.0,0.0,
16,Marcelo,Aguiar,,70.0,170,--,Orthodox,2.0,3.0,1.0,
17,Edwin,Aguilar,Tigre,70.0,185,--,,22.0,16.0,0.0,
18,Jessica,Aguilar,Jag,63.0,115,63.0,Orthodox,20.0,7.0,0.0,
19,Kevin,Aguilar,The Angel of Death,67.0,145,72.0,Orthodox,16.0,1.0,0.0,
20,Mike,Aina,Iron,69.0,155,--,Orthodox,12.0,6.0,1.0,
21,Hitomi,Akano,Girlfight Monster,64.0,135,--,Southpaw,18.0,8.0,0.0,
22,Omari,Akhmedov,Wolverine,72.0,185,73.0,Orthodox,17.0,4.0,1.0,
23,Yoshihiro,Akiyama,,70.0,170,73.0,Orthodox,14.0,6.0,0.0,
24,Razak,Al-Hassan,,74.0,205,--,Orthodox,11.0,5.0,0.0,
25,Mostapha,Al-Turk,,74.0,245,77.0,Orthodox,6.0,6.0,0.0,
26,Javi,Alanis,,66.0,135,--,,0.0,3.0,0.0,
27,Brett,Albee,,,225,--,,3.0,1.0,0.0,
28,John,Albert,Prince,68.0,135,68.0,,7.0,5.0,0.0,
29,Junior,Albini,Baby,75.0,264,74.0,Orthodox,14.0,4.0,0.0,
30,Wes,Albritton,,70.0,188,--,Orthodox,0.0,1.0,0.0,
31,Alexandra,Albu,Stitch,62.0,115,63.0,Orthodox,7.0,0.0,0.0,
32,Israel,Albuquerque,,,185,--,Orthodox,0.0,3.0,0.0,
33,Juan,Alcain,,,--,--,,1.0,2.0,0.0,
34,Marina,Rodriguez,,67.0,115,67.0,Orthodox,10.0,0.0,1.0,
35,Iuri,Alcantara,Marajo,69.0,135,71.0,Southpaw,35.0,10.0,0.0,
36,Ildemar,Alcantara,Marajo,74.0,185,78.0,Orthodox,21.0,8.0,0.0,
37,Alfonso,Alcarez,,63.0,145,--,,1.0,3.0,1.0,
38,Gilbert,Aldana,El Peligro,73.0,250,--,Orthodox,6.0,2.0,0.0,
39,Irene,Aldana,,69.0,135,68.0,Orthodox,9.0,4.0,0.0,
40,Hector,Aldana,El Charro,71.0,170,72.0,Orthodox,4.0,3.0,0.0,
41,Jose,Aldo,Junior,67.0,145,70.0,Orthodox,27.0,4.0,0.0,
42,JJ,Aldrich,,65.0,115,67.0,Southpaw,7.0,2.0,0.0,
43,Jim,Alers,The Beast,69.0,145,71.0,Orthodox,13.0,3.0,0.0,
44,John,Alessio,The Natural,70.0,155,72.0,Orthodox,34.0,16.0,0.0,
45,Houston,Alexander,The Assassin,72.0,205,72.0,Orthodox,13.0,8.0,1.0,
46,Kenneth,Alexander,The Machine,69.0,155,--,Orthodox,5.0,5.0,0.0,
47,Marcio,Alexandre Junior,Lyoto,72.0,185,75.0,Southpaw,17.0,4.0,0.0,
48,Olaf,Alfonso,,74.0,170,--,Orthodox,8.0,11.0,0.0,
49,Pablo,Alfonso,The Hurricane,68.0,145,--,,6.0,5.0,0.0,
50,Levi,Alford,,,--,--,,1.0,4.0,0.0,
51,Royce,Alger,,70.0,199,--,Orthodox,3.0,2.0,0.0,
52,Sultan,Aliev,,71.0,170,74.0,Orthodox,14.0,3.0,0.0,
53,John,Allan,,73.0,205,--,Orthodox,12.0,4.0,0.0,
54,George,Allen,,74.0,205,--,Open Stance,13.0,19.0,2.0,
55,Arnold,Allen,Almighty,68.0,145,70.0,Southpaw,13.0,1.0,0.0,
56,Benny,Alloway,Blanco,71.0,170,75.0,Orthodox,13.0,6.0,0.0,
57,Ricardo,Almeida,Big Dog,72.0,170,74.0,Orthodox,13.0,5.0,0.0,
58,Magno,Almeida,,72.0,155,--,,9.0,3.0,0.0,
59,Thomas,Almeida,Thominhas,67.0,135,70.0,Southpaw,22.0,3.0,0.0,
60,Ericka,Almeida,,66.0,115,68.0,,7.0,2.0,0.0,
61,Estefani,Almeida,,64.0,125,--,Orthodox,7.0,2.0,0.0,
62,Mauricio,Alonso,,74.0,170,--,,13.0,7.0,0.0,
63,Rico,Altamirano,,70.0,170,--,,3.0,2.0,0.0,
64,Mike,Altman,,70.0,185,--,Orthodox,1.0,4.0,0.0,
65,Sean,Alvarez,,72.0,235,--,Orthodox,4.0,3.0,0.0,
66,Eddie,Alvarez,The Underground King,69.0,155,69.0,Orthodox,29.0,6.0,0.0,
67,Jaime,Alvarez,,68.0,125,69.0,Orthodox,6.0,1.0,0.0,
68,Thiago,Alves,Pitbull,69.0,170,70.0,Orthodox,27.0,13.0,0.0,
69,Anthony,Alves,,,--,--,,1.0,3.0,0.0,
70,Amilcar,Alves,,72.0,170,--,Southpaw,11.0,4.0,0.0,
71,Warlley,Alves,,71.0,170,72.0,Orthodox,13.0,3.0,0.0,
72,Vinicius,Castro,Mamute,76.0,205,--,Orthodox,9.0,1.0,0.0,
73,Sam,Alvey,Smile'N,74.0,205,75.0,Southpaw,33.0,11.0,0.0,
74,Andre,Amado,Dida,72.0,154,--,Orthodox,6.0,4.0,1.0,
75,Adlan,Amagov,Borz,74.0,170,76.0,Orthodox,13.0,2.0,1.0,
76,Maiara,Amanajas dos Santos,,65.0,115,--,Southpaw,7.0,3.0,0.0,
77,Chris,Amarante,,,185,--,,2.0,0.0,0.0,
78,Jimmy,Ambriz,The Titan,74.0,315,--,Southpaw,15.0,18.0,1.0,
79,JJ,Ambrose,,70.0,170,--,Orthodox,17.0,3.0,0.0,
80,Alen,Amedovski,,70.0,185,--,,8.0,0.0,0.0,
81,Makwan,Amirkhani,Mr. Finland,70.0,145,72.0,Southpaw,14.0,3.0,0.0,
82,Bertrand,Amoussou,,68.0,190,--,Orthodox,1.0,1.0,0.0,
83,Karl,Amoussou,The Psycho,71.0,185,--,Orthodox,12.0,4.0,2.0,
84,Eryk,Anders,Ya Boi,73.0,185,75.0,Southpaw,11.0,3.0,0.0,
85,Matt,Andersen,,74.0,230,--,Southpaw,14.0,8.0,1.0,
86,Andy,Anderson,The Hammer,66.0,240,--,,0.0,1.0,0.0,
87,Lowell,Anderson,,66.0,160,--,Orthodox,0.0,1.0,0.0,
88,Corey,Anderson,Overtime,75.0,205,79.0,Orthodox,13.0,4.0,0.0,
89,Derek,Anderson,Barbaric,72.0,155,--,,14.0,3.0,0.0,
90,Megan,Anderson,,72.0,145,73.0,Orthodox,9.0,3.0,0.0,
91,Alex,Andrade,El Toro,71.0,200,--,Orthodox,10.0,5.0,0.0,
92,Jessica,Andrade,Bate Estaca,61.0,115,62.0,Orthodox,19.0,6.0,0.0,
93,Viscardi,Andrade,,71.0,170,75.0,Orthodox,19.0,7.0,0.0,
94,Jermaine,Andre,,67.0,200,--,Orthodox,14.0,4.0,0.0,
95,Dylan,Andrews,The Villain,73.0,185,73.0,Switch,18.0,8.0,0.0,
96,Reese,Andy,Riptide,72.0,205,--,Orthodox,7.0,3.0,0.0,
97,Yoji,Anjo,Mr. 200%,71.0,205,--,Orthodox,0.0,5.0,1.0,
