,name,nick_name,fight_record,height,weight,reach,stance,DOB
0,Dongi Yang,The Ox,13-3-0,"5' 10""",185 lbs.,"71""",Southpaw,"Dec 07, 1984"
1,Goldman Butler,,1-4-0,--,--,--,,--
2,Ruslan Magomedov,Leopard,14-1-0,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986"
3,Danny Davis,,6-5-1,"6' 2""",170 lbs.,--,,"Jul 28, 1982"
4,Khalil Rountree Jr.,The War Horse,8-2-0 (2 NC),"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990"
5,Alexis Davis,,19-8-0,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984"
6,Katsunori Kikuno,,23-8-2,"5' 8""",145 lbs.,"66""",Orthodox,"Oct 31, 1981"
7,Iony Razafiarison,,2-1-0 (1 NC),"5' 3""",145 lbs.,--,,"Dec 23, 1984"
8,Drew Pendleton,,4-0-0,--,145 lbs.,--,,"Dec 08, 1983"
9,Chad Reiner,The Grinder,28-13-0,"5' 11""",170 lbs.,--,Orthodox,"Jun 29, 1981"
10,Fabricio Guerreiro,,21-5-0 (1 NC),"5' 10""",145 lbs.,--,,"Jul 24, 1990"
11,Dan Hooker,The Hangman,18-8-0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990"
12,Lisa Ellis,,15-10-0,"5' 4""",115 lbs.,"62""",,"Nov 15, 1982"
13,Rocky Lee,,3-2-0,"5' 9""",145 lbs.,"68""",Orthodox,"Apr 08, 1987"
14,Takayuki Okada,Giant Ochiai,3-3-2,"6' 1""",290 lbs.,--,Orthodox,--
15,Eric Schambari,,15-4-0,"5' 11""",185 lbs.,--,Orthodox,"Apr 22, 1978"
16,Mike Seal,Crazy Boy,13-14-1 (1 NC),"6' 4""",185 lbs.,--,Orthodox,--
17,Jay Cucciniello,Mellow Fellow,9-1-0,"5' 7""",155 lbs.,--,Orthodox,"Jul 23, 1986"
18,Cody Floyd,,2-0-0,--,--,--,,"Jul 18, 1988"
19,Yuri Vaulin,,0-1-0,"6' 4""",197 lbs.,--,Southpaw,--
20,Josh Copeland,Cuddly Bear,9-2-0,"6' 1""",265 lbs.,"75""",Orthodox,"Oct 20, 1982"
21,Islam Makhachev,,16-1-0,"5' 10""",155 lbs.,"70""",Orthodox,"Oct 27, 1991"
22,Felice Herrig,Lil Bulldog,14-8-0,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984"
23,Krishaun Gilmore,,0-1-0,--,--,--,,--
