,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
0,"Israel Adesanya ""The Last Stylebender""","Anderson Silva ""The Spider""",3,5:00,"Israel Adesanya ""The Last Stylebender""",http://ufcstats.com/fight-details/4eb91cfc892a108e,2019-02-09,0,20,44,20,44,0,0,0,0,0,10,31,1,2,9,11,18,41,2,3,0,0,0,6,21,6,21,0,0,0,0,0,10,31,1,2,9,11,18,41,2,3,0,0,0,20,44,20,44,0,0,0,0,0,2,16,1,1,3,4,6,21,0,0,0,0,0,20,35,23,38,0,0,0,0,0,8,23,3,7,9,9,20,39,0,0,0,0,0,20,39,20,39,0,0,0,0,0,12,23,5,7,3,5,15,30,5,5,0,0,0,5,16,5,16,0,0,0,0,0,9,25,5,13,11,11,25,49,0,0,0,0,0,25,49,25,49,0,0,0,0,0,2,10,2,4,1,2,5,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Lando Vannata ""Groovy""","Marcos Mariano ""Dhalsim""",1,4:55,"Lando Vannata ""Groovy""",http://ufcstats.com/fight-details/aa71cf96ba4e5a36,2019-02-09,0,20,40,39,64,1,1,1,2,0,18,37,0,1,2,2,2,4,0,0,18,36,0,3,9,4,11,0,0,0,0,0,18,37,0,1,2,2,2,4,0,0,18,36,0,20,40,39,64,1,1,1,2,0,2,7,0,0,1,2,1,7,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rani Yahya,Ricky Simon,3,5:00,Rani Yahya,http://ufcstats.com/fight-details/069e3e704cbf6337,2019-02-09,0,21,62,22,64,0,5,0,0,0,11,46,4,7,6,9,21,62,0,0,0,0,2,20,49,21,50,1,1,0,1,0,11,46,4,7,6,9,21,62,0,0,0,0,0,21,62,22,64,0,5,0,0,0,12,39,5,7,3,3,15,43,0,0,5,6,0,11,43,16,48,2,3,0,1,0,12,72,5,6,2,4,19,82,0,0,0,0,0,19,82,21,85,0,1,0,0,0,8,37,2,5,1,1,8,37,0,0,3,6,0,23,45,29,52,1,1,0,0,0,6,41,1,1,0,0,7,42,0,0,0,0,0,7,42,9,46,0,3,0,0,0,20,40,2,4,1,1,15,34,0,0,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Montana De La Rosa,"Nadia Kassem ""187""",2,2:37,Montana De La Rosa,http://ufcstats.com/fight-details/fd1854062406d287,2019-02-09,0,10,16,54,67,1,1,0,4,0,9,15,1,1,0,0,6,11,0,0,4,5,0,3,4,11,15,0,0,0,0,0,9,15,1,1,0,0,6,11,0,0,4,5,0,10,16,54,67,1,1,0,4,0,1,2,1,1,1,1,1,1,1,1,1,2,0,2,3,4,5,0,0,0,0,0,11,19,0,0,0,0,1,8,0,0,10,11,0,11,19,25,34,1,2,3,3,0,0,1,0,0,2,2,2,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Jimmy Crute ""The Brute""","Sam Alvey ""Smile'N""",1,2:49,"Jimmy Crute ""The Brute""",http://ufcstats.com/fight-details/e4862c4f20117cb8,2019-02-09,1,14,32,17,36,0,0,0,0,0,7,23,2,3,5,6,9,23,0,0,5,9,0,3,14,3,14,0,1,0,0,0,7,23,2,3,5,6,9,23,0,0,5,9,1,14,32,17,36,0,0,0,0,0,3,14,0,0,0,0,3,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Devonte Smith ""King Kage""","Dong Hyun Ma ""Maestro""",1,3:53,"Devonte Smith ""King Kage""",http://ufcstats.com/fight-details/5ff8463edf8155c0,2019-02-09,1,19,43,19,43,0,0,0,0,0,14,34,1,4,4,5,15,38,0,0,4,5,0,1,9,1,9,0,0,0,0,0,14,34,1,4,4,5,15,38,0,0,4,5,1,19,43,19,43,0,0,0,0,0,0,4,0,1,1,4,1,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Shane Young ""Sugar""","Austin Arnett ""Golden Boy""",3,5:00,"Shane Young ""Sugar""",http://ufcstats.com/fight-details/49f7186e1e3cf6c8,2019-02-09,0,39,108,40,109,0,1,0,0,0,19,80,12,19,8,9,38,107,1,1,0,0,0,21,65,21,65,0,0,0,0,0,19,80,12,19,8,9,38,107,1,1,0,0,0,39,108,40,109,0,1,0,0,0,19,62,2,3,0,0,21,65,0,0,0,0,0,30,72,31,73,0,0,0,0,0,22,70,11,15,8,9,41,94,0,0,0,0,0,41,94,41,94,0,1,0,0,0,27,67,1,3,2,2,29,71,1,1,0,0,0,26,72,26,72,0,0,0,0,0,28,87,9,12,3,7,40,106,0,0,0,0,1,40,106,40,106,0,0,0,0,0,26,72,0,0,0,0,26,72,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Kai Kara-France ""Don't Blink""",Raulian Paiva,3,5:00,"Kai Kara-France ""Don't Blink""",http://ufcstats.com/fight-details/51db35a3cf225bda,2019-02-09,0,12,39,12,39,0,0,0,0,0,6,30,5,7,1,2,12,39,0,0,0,0,0,16,39,16,39,0,3,0,0,0,6,30,5,7,1,2,12,39,0,0,0,0,0,12,39,12,39,0,0,0,0,0,8,29,4,5,4,5,16,39,0,0,0,0,0,25,68,29,72,0,1,1,1,0,14,51,3,3,4,4,18,55,1,1,2,2,0,21,58,23,60,0,4,0,0,0,13,49,6,13,6,6,20,55,0,3,5,10,0,26,77,26,77,0,0,0,0,0,13,53,9,14,3,4,25,70,0,1,0,0,0,25,71,25,71,2,3,0,0,0,15,62,11,15,0,0,25,76,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Teruto Ishihara ""Yashabo""","Kyung Ho Kang ""Mr. Perfect""",1,3:59,"Teruto Ishihara ""Yashabo""",http://ufcstats.com/fight-details/b247a1900cfae052,2019-02-09,1,17,47,18,48,0,0,0,0,0,12,36,1,5,4,6,11,35,6,10,0,2,1,26,58,30,62,1,1,1,1,0,12,36,1,5,4,6,11,35,6,10,0,2,1,17,47,18,48,0,0,0,0,0,19,46,7,12,0,0,15,40,11,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Callan Potter ""The Rockstar""","Jalin Turner ""The Tarantula""",1,0:53,"Callan Potter ""The Rockstar""",http://ufcstats.com/fight-details/11c0ef97497303ef,2019-02-09,0,3,4,3,4,0,1,0,0,0,1,2,0,0,2,2,3,4,0,0,0,0,1,9,17,9,17,0,0,0,1,0,1,2,0,0,2,2,3,4,0,0,0,0,0,3,4,3,4,0,1,0,0,0,6,14,3,3,0,0,5,12,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
