,hyper_opt_par,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
0,"{'dual': True, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5315313318220222,0.5236863353322898,0.5279372894532262,0.541078547750613
1,"{'max_depth': 19, 'max_features': 46, 'n_estimators': 39}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5117116853349841,0.5043389756260875,0.48618208516886935,0.5206587646003196
2,"{'kernel': 'linear', 'shrinking': False}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,SVC,0.5240149987870473,0.5202668144951037,0.4371041720653019,0.5339642959513802
3,"{'algorithm': 'kd_tree', 'leaf_size': 49, 'n_neighbors': 75, 'weights': 'uniform'}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,KNeighborsClassifier,0.5203916164058121,0.5140815899129193,0.4570730759264058,0.5199398536284626
4,"{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'random'}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,DecisionTreeClassifier,0.5014440410563562,0.4935316916442861,0.4926548328582534,0.5013064845660896
5,{'var_smoothing': 0.0006778797837565959},cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,GaussianNB,0.5072352626251642,0.5000291915315654,0.7007622872937722,0.5274307011489061
6,"{'alpha': 0.0006281474581602776, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,Perceptron,0.5107051437558033,0.5035440632659764,0.5241077135700095,0.5164933932871153
7,"{'fit_intercept': True, 'loss': 'hinge'}",cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,SGDClassifier,0.487413524840434,0.4759083698919121,0.4288196423944027,0.48243475731050917
8,{'activation': 'identity'},cumu_dfs_dict,Exact Data: 1 Fight Lookback Window,6914,MLPClassifier,0.5245834134997448,0.5199930216469488,0.45092770147706657,0.535764840666881
9,"{'dual': False, 'fit_intercept': True}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,LogisticRegression,0.5349164667154817,0.5289129766217353,0.49759731037880767,0.5426963625500505
10,"{'max_depth': 22, 'max_features': 23, 'n_estimators': 6}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,RandomForestClassifier,0.505816961961205,0.4964623341542399,0.38299133408689096,0.5017373583264388
11,"{'kernel': 'linear', 'shrinking': True}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,SVC,0.5375518180109324,0.5331599669841378,0.502440367504275,0.5452242732214108
12,"{'algorithm': 'auto', 'leaf_size': 21, 'n_neighbors': 6, 'weights': 'uniform'}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,KNeighborsClassifier,0.5166740375160682,0.5121887159310591,0.3453786627249804,0.5175012790526998
13,"{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'random'}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,DecisionTreeClassifier,0.503961255734638,0.49575235093838244,0.5104874938411152,0.504078974193285
14,{'var_smoothing': 0.0003660885955083328},cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,GaussianNB,0.5113914315866077,0.5063815704605344,0.8099802915688491,0.5201781584347299
15,"{'alpha': 1.871164808802846e-05, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,Perceptron,0.5110911722321347,0.5050296059016253,0.5314784221661885,0.5043908773111736
16,"{'fit_intercept': False, 'loss': 'squared_hinge'}",cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,SGDClassifier,0.5097757792611126,0.5021417367589632,0.5540561690287801,0.5145049215225246
17,{'activation': 'identity'},cumu_dfs_dict,Exact Data: 3 Fight Lookback Window,3780,MLPClassifier,0.5317404591728124,0.5246235301741817,0.506195113468394,0.5404660233760964
18,"{'dual': False, 'fit_intercept': True}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,LogisticRegression,0.5315931700074239,0.5247540238691496,0.5031674208144796,0.5477958119230578
19,"{'max_depth': 20, 'max_features': 26, 'n_estimators': 35}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,RandomForestClassifier,0.5124652313783717,0.504219305803559,0.49411764705882355,0.49869768673694753
20,"{'kernel': 'rbf', 'shrinking': False}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,SVC,0.5378054936896808,0.5334993490874195,0.4723981900452488,0.5446690883980486
21,"{'algorithm': 'ball_tree', 'leaf_size': 53, 'n_neighbors': 81, 'weights': 'uniform'}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,KNeighborsClassifier,0.5169225439247711,0.5100557019792593,0.4398190045248869,0.5050890764523196
22,"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,DecisionTreeClassifier,0.5106894333085868,0.5027584558801153,0.4733031674208146,0.5100887245975596
23,{'var_smoothing': 0.00030063242805267523},cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,GaussianNB,0.5116010888393963,0.5081598093926539,0.7882352941176471,0.5329432425340059
24,"{'alpha': 0.0005576780001937795, 'fit_intercept': True}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,Perceptron,0.5169136352388023,0.5060277569813527,0.5158371040723981,0.528721141409908
25,"{'fit_intercept': False, 'loss': 'squared_hinge'}",cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,SGDClassifier,0.5106735956446424,0.5009483250280997,0.5583710407239819,0.5111987050358217
26,{'activation': 'logistic'},cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,MLPClassifier,0.5275931700074239,0.5198960936218098,0.5167420814479637,0.5445419353675738
27,"{'dual': True, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,LogisticRegression,0.56387462511552,0.5525587217406022,0.5719070403280929,0.5797491195121856
28,"{'max_depth': 8, 'max_features': 44, 'n_estimators': 46}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,RandomForestClassifier,0.5103376208483275,0.5009860523840406,0.4507518796992481,0.5175972620789638
29,"{'kernel': 'linear', 'shrinking': True}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,SVC,0.5623876565903205,0.5537316672078768,0.5281613123718387,0.5818306573488721
30,"{'algorithm': 'kd_tree', 'leaf_size': 39, 'n_neighbors': 40, 'weights': 'uniform'}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,KNeighborsClassifier,0.5244143673159161,0.5204931972789115,0.376680337206653,0.5263497094317302
31,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,DecisionTreeClassifier,0.5000439065109362,0.4906881150523391,0.5023581681476419,0.5000736149105923
32,{'var_smoothing': 0.0005483377462628209},cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,GaussianNB,0.5445546628948321,0.53195720738777,0.5840396445659604,0.5497786940037939
33,"{'alpha': 0.0005941782011845252, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,Perceptron,0.5096572375884849,0.5028698756648466,0.4705172020961495,0.5116819642559174
34,"{'fit_intercept': False, 'loss': 'squared_hinge'}",cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,SGDClassifier,0.5333885797346201,0.5252094827747188,0.5352813852813852,0.5472733800929529
35,{'activation': 'identity'},cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,MLPClassifier,0.5490267864264764,0.5433837239851455,0.494771018455229,0.5667371030405322
36,"{'dual': True, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,LogisticRegression,0.5506654567453115,0.5419152272051468,0.5586466165413533,0.5628059775388208
37,"{'max_depth': 11, 'max_features': 2, 'n_estimators': 49}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,RandomForestClassifier,0.5121597096188748,0.500024311611437,0.4375939849624061,0.5042873841529598
38,"{'kernel': 'linear', 'shrinking': False}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SVC,0.5700846944948579,0.5634874396910832,0.5553258145363408,0.5659574674558987
39,"{'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 3, 'weights': 'uniform'}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,KNeighborsClassifier,0.5326981246218996,0.52451662372715,0.5154761904761905,0.5436262888372305
40,"{'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,DecisionTreeClassifier,0.49464609800362974,0.4844734174536985,0.4838345864661654,0.4944596661144386
41,{'var_smoothing': 0.0007290932668574808},cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,GaussianNB,0.5891107078039928,0.5845825222607696,0.5695488721804511,0.5814951427370295
42,"{'alpha': 0.0003589966021818071, 'fit_intercept': False}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,Perceptron,0.5262250453720508,0.5117296657863296,0.5196741854636592,0.5209930143886894
43,"{'fit_intercept': False, 'loss': 'hinge'}",cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SGDClassifier,0.5069872958257713,0.4972824045493593,0.4416040100250626,0.5445026029421889
44,{'activation': 'relu'},cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,MLPClassifier,0.5436781609195402,0.5358369408369408,0.5231203007518798,0.5750569988677128
45,"{'dual': True, 'fit_intercept': True}",cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5546769781584869,0.55083028898534,0.5129498142869482,0.5739971113466429
46,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 29}",cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5861965987134337,0.5851510974719423,0.5473127753303964,0.6187897948261794
