,name,nick_name,fight_record,height,weight,reach,stance,DOB
0,Yukiya Naito,,15-6-2,"6' 1""",205 lbs.,--,Orthodox,--
1,Jamie Varner,,21-11-1 (2 NC),"5' 8""",155 lbs.,"72""",Orthodox,"Oct 12, 1984"
2,Chris Yee,,4-6-0,"5' 9""",185 lbs.,--,,--
3,Yasuhiro Urushitani,,19-6-6,"5' 5""",125 lbs.,--,Southpaw,"Sep 08, 1976"
4,Donny Walker,Eagle Eye,15-8-0,"5' 9""",135 lbs.,--,,"Jan 04, 1980"
5,Andy Wang,,7-8-1 (1 NC),"5' 6""",155 lbs.,--,Orthodox,"May 28, 1977"
6,Atsushi Yamamoto,,15-7-3,"5' 6""",139 lbs.,--,Orthodox,"Oct 02, 1980"
7,Nate Quarry,Rock,12-4-0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972"
8,Abdul-Kerim Edilov,,17-4-0,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
9,Yusuke Imamura,,2-6-0,"5' 8""",220 lbs.,--,Orthodox,--
10,Augusto Sakai,,12-1-1,"6' 4""",265 lbs.,--,Orthodox,"May 09, 1991"
11,Dongi Yang,The Ox,13-3-0,"5' 10""",185 lbs.,"71""",Southpaw,"Dec 07, 1984"
12,Al Iaquinta,Raging,14-4-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
13,Sarah D'alelio,The Monster,4-2-0,"5' 7""",145 lbs.,--,,"Dec 13, 1980"
14,Jeremy Wallace,,4-5-0,"5' 9""",--,--,,--
15,Cody Garbrandt,No Love,11-2-0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991"
16,Maycee Barber,The Future,6-0-0,"5' 5""",115 lbs.,"65""",Switch,"May 18, 1998"
17,Sheila Gaff,The German Tank,10-6-1,"5' 5""",135 lbs.,"62""",Orthodox,"Dec 29, 1989"
18,Aisling Daly,Ais the Bash,16-6-0,"5' 2""",115 lbs.,"64""",,"Dec 24, 1987"
19,Ricardo Ramos,,12-2-0,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995"
20,Sergey Ignatov,,0-1-0,"5' 9""",210 lbs.,--,Orthodox,--
21,Dave Jansen,,15-3-0,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 21, 1979"
22,Kelly Faszholz,,3-2-0,"5' 8""",135 lbs.,"67""",Orthodox,"Apr 09, 1985"
23,Dave Zitanick,,5-7-0 (1 NC),--,170 lbs.,--,,"Mar 05, 1980"
24,Rodney Faverus,,25-19-3 (1 NC),"6' 0""",215 lbs.,--,Southpaw,--
25,Justin Eilers,The Hammer,19-7-1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978"
26,Mark Hall,,5-6-0,"6' 0""",190 lbs.,--,Orthodox,--
27,Kevin Jackson,,4-2-0,"5' 10""",199 lbs.,--,Switch,--
28,Gokhan Saki,The Rebel,1-2-0,"6' 0""",205 lbs.,"73""",Orthodox,"Oct 19, 1983"
29,Manny Vazquez,,11-2-0,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993"
30,Joe Taimanglo,The Juggernaut,23-7-1,"5' 4""",135 lbs.,--,,"Jun 27, 1984"
31,Gilbert Rael,,1-3-0,"5' 8""",155 lbs.,--,,--
32,Ben Lagman,Bad News,6-2-0,"6' 2""",185 lbs.,--,,"Sep 04, 1986"
33,Daiju Takase,,9-13-2,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978"
