,fighter_1,fighter_2,end_round,end_time,winner,date,fight_url,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
0,"Francis Ngannou ""The Predator""",Cain Velasquez,1,0:26,"Francis Ngannou ""The Predator""",2019-02-17,http://ufcstats.com/fight-details/01983cba42704c49,0,6,10,6,10,0,0,0,0,0,6,10,0,0,0,0,3,6,1,1,2,3,0,1,3,1,3,0,1,0,0,0,6,10,0,0,0,0,3,6,1,1,2,3,0,6,10,6,10,0,0,0,0,0,0,1,1,1,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"James Vick ""The Texecutioner""","Paul Felder ""The Irish Dragon""",3,5:00,"James Vick ""The Texecutioner""",2019-02-17,http://ufcstats.com/fight-details/a212e4c197983ad1,0,22,49,23,50,0,0,0,0,0,9,34,5,6,8,9,22,47,0,2,0,0,0,20,47,21,48,0,0,0,0,0,9,34,5,6,8,9,22,47,0,2,0,0,0,22,49,23,50,0,0,0,0,0,12,36,0,0,8,11,18,45,2,2,0,0,0,12,32,23,43,0,0,0,0,0,7,15,6,9,6,7,15,24,4,7,0,0,0,19,31,20,32,0,0,0,0,0,7,20,2,5,3,7,10,30,2,2,0,0,0,23,40,26,43,0,0,0,0,0,8,26,5,6,7,9,20,41,0,0,0,0,0,20,41,26,47,0,0,0,0,0,12,23,2,3,9,14,20,34,3,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Cortney Casey ""Cast Iron""",Cynthia Calvillo,3,5:00,"Cortney Casey ""Cast Iron""",2019-02-17,http://ufcstats.com/fight-details/354425c41008a01f,0,24,58,24,59,0,0,0,0,0,14,47,2,2,8,9,24,58,0,0,0,0,0,32,62,32,62,0,2,0,0,0,14,47,2,2,8,9,24,58,0,0,0,0,0,24,58,24,59,0,0,0,0,0,10,37,8,11,14,14,29,59,3,3,0,0,0,28,63,28,63,0,3,0,0,0,12,38,2,3,8,11,22,52,0,0,0,0,0,22,52,22,52,0,0,0,0,0,15,45,7,10,6,8,28,61,0,2,0,0,0,22,67,22,67,0,1,0,0,0,15,51,2,3,10,12,26,65,1,1,0,0,0,27,66,27,66,0,0,0,0,0,16,57,2,3,4,7,22,66,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Alex Caceres ""Bruce Leeroy""",Kron Gracie,1,2:06,"Alex Caceres ""Bruce Leeroy""",2019-02-17,http://ufcstats.com/fight-details/c8bc7e668ffffc7c,0,4,14,4,14,0,0,0,0,0,3,13,0,0,1,1,4,14,0,0,0,0,0,2,10,3,11,1,2,1,1,0,3,13,0,0,1,1,4,14,0,0,0,0,0,4,14,4,14,0,0,0,0,0,1,6,0,0,1,4,2,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Vicente Luque ""The Silent Assassin""","Bryan Barberena ""Bam Bam""",3,4:54,"Vicente Luque ""The Silent Assassin""",2019-02-17,http://ufcstats.com/fight-details/1521f94cafdfd783,0,37,64,37,64,0,0,2,1,1,28,55,5,5,4,4,36,63,1,1,0,0,1,30,67,44,82,0,1,0,0,0,28,55,5,5,4,4,36,63,1,1,0,0,0,37,64,37,64,0,0,2,1,1,23,60,3,3,4,4,20,50,2,2,8,15,0,73,140,78,145,0,0,0,0,0,48,76,5,5,2,2,44,70,8,9,3,4,0,55,83,56,84,0,0,0,0,0,63,125,9,13,1,2,64,124,9,16,0,0,0,66,148,73,155,0,0,0,0,0,56,78,7,7,8,9,60,83,7,7,4,4,1,71,94,71,94,0,0,0,0,0,60,139,4,7,2,2,63,145,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Andre Fili ""Touchy""","Myles Jury ""Fury""",3,5:00,"Andre Fili ""Touchy""",2019-02-17,http://ufcstats.com/fight-details/0a4247ba4ae1cca5,0,31,74,31,74,0,0,0,0,0,19,55,0,2,12,17,31,74,0,0,0,0,0,19,35,19,35,0,0,0,0,0,19,55,0,2,12,17,31,74,0,0,0,0,0,31,74,31,74,0,0,0,0,0,9,23,3,3,7,9,19,35,0,0,0,0,1,33,63,38,68,0,0,0,2,0,19,55,4,7,8,8,31,70,0,0,0,0,0,31,70,31,70,0,0,0,0,0,21,50,4,4,8,9,29,54,0,0,4,9,0,24,45,24,45,0,0,0,0,0,27,69,5,7,4,6,36,82,0,0,0,0,0,36,82,36,82,0,0,0,0,0,17,37,3,4,4,4,24,45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Jimmie Rivera ""El Terror""","Aljamain Sterling ""Funk Master""",3,5:00,"Jimmie Rivera ""El Terror""",2019-02-17,http://ufcstats.com/fight-details/58e21d505c082a9e,0,7,12,11,16,0,0,0,0,0,1,4,2,4,4,4,2,7,5,5,0,0,0,21,30,46,57,0,3,0,0,0,1,4,2,4,4,4,2,7,5,5,0,0,0,7,12,11,16,0,0,0,0,0,0,7,16,18,5,5,4,10,17,20,0,0,0,48,80,50,82,0,2,0,0,0,2,16,3,6,4,4,8,25,1,1,0,0,0,9,26,14,32,0,0,0,0,0,19,47,15,18,14,15,42,71,6,9,0,0,0,32,66,33,67,0,2,0,0,0,5,39,2,6,1,1,7,45,1,1,0,0,0,8,46,11,49,0,0,0,1,0,17,42,8,15,7,9,31,65,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Benito Lopez ""Golden Boy""","Manny Bermudez ""The Bermudez Triangle""",1,3:09,"Benito Lopez ""Golden Boy""",2019-02-17,http://ufcstats.com/fight-details/0d698108c5f5d1d6,0,7,12,11,16,0,0,0,0,0,3,8,0,0,4,4,2,6,5,6,0,0,0,7,10,14,19,1,1,1,2,0,3,8,0,0,4,4,2,6,5,6,0,0,0,7,12,11,16,0,0,0,0,0,3,6,4,4,0,0,2,4,1,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Ashlee Evans-Smith ""Rebel Girl""","Andrea Lee ""KGB""",3,5:00,"Ashlee Evans-Smith ""Rebel Girl""",2019-02-17,http://ufcstats.com/fight-details/bdeca00572419011,0,34,103,34,103,0,1,0,0,0,20,77,9,18,5,8,33,102,0,0,1,1,0,44,86,46,88,0,1,0,0,0,20,77,9,18,5,8,33,102,0,0,1,1,0,34,103,34,103,0,1,0,0,0,19,57,12,16,13,13,42,84,2,2,0,0,0,35,56,39,60,0,0,0,0,0,7,38,6,7,2,2,9,41,5,5,1,1,0,15,47,20,52,1,4,0,1,0,15,31,11,16,9,9,26,41,7,13,2,2,0,32,67,33,68,0,1,0,0,0,11,63,5,11,1,1,14,71,3,4,0,0,0,17,75,17,75,1,5,0,1,0,13,44,11,14,8,9,30,65,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Scott Holtzman ""Hot Sauce""","Nik Lentz ""The Carny""",3,5:00,"Scott Holtzman ""Hot Sauce""",2019-02-17,http://ufcstats.com/fight-details/f96f719ad667dd96,0,5,20,20,38,0,0,0,0,0,3,14,1,5,1,1,5,20,0,0,0,0,0,32,43,38,49,2,8,0,1,0,3,14,1,5,1,1,5,20,0,0,0,0,0,5,20,20,38,0,0,0,0,0,11,21,7,8,14,14,17,27,15,16,0,0,0,23,45,23,45,2,5,1,1,0,11,40,5,7,1,1,16,46,1,2,0,0,0,17,48,23,54,0,0,0,0,0,14,35,7,8,2,2,22,44,1,1,0,0,0,16,34,18,36,1,6,0,0,0,25,45,7,9,0,0,19,41,6,6,7,7,0,32,54,43,65,0,0,0,0,0,14,32,2,2,0,0,16,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
