,Variable IDs,Variable Labels
0,Unnamed: 0,Unnamed: 0
1,fighter_1,fighter 1
2,fighter_2,fighter 2
3,winner,winner
4,url,url
5,date,date
6,f1_r1_kds,fighter 1 round 1 knockdowns
7,f1_r1_sigstrikes_l,fighter 1 round 1 significant strikes landed
8,f1_r1_sigstrikes_a,fighter 1 round 1 significant strikes attempts
9,f1_r1_strikes_l,fighter 1 round 1 strikes landed
10,f1_r1_strikes_a,fighter 1 round 1 strikes attempts
11,f1_r1_tds_l,fighter 1 round 1 takedowns landed
12,f1_r1_tds_a,fighter 1 round 1 takedowns attempts
13,f1_r1_subs_a,fighter 1 round 1 submissions attempts
14,f1_r1_passes,fighter 1 round 1 passes
15,f1_r1_revs,fighter 1 round 1 reversals
16,f1_r1_ss_head_l,fighter 1 round 1 significant strikes to the head landed
17,f1_r1_ss_head_a,fighter 1 round 1 significant strikes to the head attempts
18,f1_r1_ss_body_l,fighter 1 round 1 significant strikes to the body landed
19,f1_r1_ss_body_a,fighter 1 round 1 significant strikes to the body attempts
20,f1_r1_ss_leg_l,fighter 1 round 1 significant strikes to the leg landed
21,f1_r1_ss_leg_a,fighter 1 round 1 significant strikes to the leg attempts
22,f1_r1_ss_dist_l,fighter 1 round 1 significant strikes dist landed
23,f1_r1_ss_dist_a,fighter 1 round 1 significant strikes dist attempts
24,f1_r1_ss_clinch_l,fighter 1 round 1 significant strikes from clinch landed
25,f1_r1_ss_clinch_a,fighter 1 round 1 significant strikes from clinch attempts
26,f1_r1_ss_ground_l,fighter 1 round 1 significant strikes from ground landed
27,f1_r1_ss_ground_a,fighter 1 round 1 significant strikes from ground attempts
28,f2_r1_kds,fighter 2 round 1 knockdowns
29,f2_r1_sigstrikes_l,fighter 2 round 1 significant strikes landed
30,f2_r1_sigstrikes_a,fighter 2 round 1 significant strikes attempts
31,f2_r1_strikes_l,fighter 2 round 1 strikes landed
32,f2_r1_strikes_a,fighter 2 round 1 strikes attempts
33,f2_r1_tds_l,fighter 2 round 1 takedowns landed
34,f2_r1_tds_a,fighter 2 round 1 takedowns attempts
35,f2_r1_subs_a,fighter 2 round 1 submissions attempts
36,f2_r1_passes,fighter 2 round 1 passes
37,f2_r1_revs,fighter 2 round 1 reversals
38,f2_r1_ss_head_l,fighter 2 round 1 significant strikes to the head landed
39,f2_r1_ss_head_a,fighter 2 round 1 significant strikes to the head attempts
40,f2_r1_ss_body_l,fighter 2 round 1 significant strikes to the body landed
41,f2_r1_ss_body_a,fighter 2 round 1 significant strikes to the body attempts
42,f2_r1_ss_leg_l,fighter 2 round 1 significant strikes to the leg landed
43,f2_r1_ss_leg_a,fighter 2 round 1 significant strikes to the leg attempts
44,f2_r1_ss_dist_l,fighter 2 round 1 significant strikes dist landed
45,f2_r1_ss_dist_a,fighter 2 round 1 significant strikes dist attempts
46,f2_r1_ss_clinch_l,fighter 2 round 1 significant strikes from clinch landed
47,f2_r1_ss_clinch_a,fighter 2 round 1 significant strikes from clinch attempts
48,f2_r1_ss_ground_l,fighter 2 round 1 significant strikes from ground landed
49,f2_r1_ss_ground_a,fighter 2 round 1 significant strikes from ground attempts
50,f1_r2_kds,fighter 1 round 2 knockdowns
51,f1_r2_sigstrikes_l,fighter 1 round 2 significant strikes landed
52,f1_r2_sigstrikes_a,fighter 1 round 2 significant strikes attempts
53,f1_r2_strikes_l,fighter 1 round 2 strikes landed
54,f1_r2_strikes_a,fighter 1 round 2 strikes attempts
55,f1_r2_tds_l,fighter 1 round 2 takedowns landed
56,f1_r2_tds_a,fighter 1 round 2 takedowns attempts
57,f1_r2_subs_a,fighter 1 round 2 submissions attempts
58,f1_r2_passes,fighter 1 round 2 passes
59,f1_r2_revs,fighter 1 round 2 reversals
60,f1_r2_ss_head_l,fighter 1 round 2 significant strikes to the head landed
61,f1_r2_ss_head_a,fighter 1 round 2 significant strikes to the head attempts
