,fighter_1,fighter_2,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs
0,Raphael Assuncao,"Marlon Moraes ""Magic""",Raphael Assuncao,http://ufcstats.com/fight-details/4e8b2357fea211e9,2019-02-02,0,2,12,3,13,0,0,0,0,0,1,10,23,12,25,0,0,1,2,0,0,2,12,3,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jose Aldo,"Renato Moicano ""Moicano""",Jose Aldo,http://ufcstats.com/fight-details/300f1489174a3ece,2019-02-02,0,10,27,10,27,0,0,0,0,0,0,20,45,20,45,0,0,0,0,0,0,10,27,10,27,0,0,0,0,0,0,4,8,4,8,0,0,0,0,0,0,16,23,16,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Demian Maia,"Lyman Good ""Cyborg""",Demian Maia,http://ufcstats.com/fight-details/ce246b336b6bd638,2019-02-02,0,0,1,8,9,2,4,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,8,9,2,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Charles Oliveira ""Do Bronx""",David Teymur,"Charles Oliveira ""Do Bronx""",http://ufcstats.com/fight-details/85036b967403cdab,2019-02-02,0,15,38,18,41,1,1,0,0,0,1,22,43,27,49,0,0,0,0,0,0,15,38,18,41,1,1,0,0,0,0,4,10,4,10,0,0,0,0,0,0,13,20,13,20,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Johnny Walker,"Justin Ledet ""El Blanco""",Johnny Walker,http://ufcstats.com/fight-details/44cfd4330eb6e2bf,2019-02-02,1,7,8,7,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,7,8,7,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Livinha Souza ""The Brazilian Gangsta""","Sarah Frota ""A Treta""","Livinha Souza ""The Brazilian Gangsta""",http://ufcstats.com/fight-details/53abea410a0541c8,2019-02-02,0,11,16,28,33,1,3,2,1,0,0,4,15,30,47,0,0,0,0,0,0,11,16,28,33,1,3,2,1,0,0,11,32,11,32,0,0,0,0,0,0,5,29,34,58,3,4,1,1,0,0,17,43,37,64,0,0,0,0,0,0,7,20,13,27,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Markus Perez ""Maluko""","Anthony Hernandez ""Fluffy""","Markus Perez ""Maluko""",http://ufcstats.com/fight-details/ebb685a81f65ce1b,2019-02-02,0,15,30,16,31,1,6,0,0,0,0,17,35,21,39,0,0,0,0,0,0,15,30,16,31,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Mara Romero Borella ""Kunoichici""",Taila Santos,"Mara Romero Borella ""Kunoichici""",http://ufcstats.com/fight-details/904e0e46392dff93,2019-02-02,0,11,17,36,42,1,1,0,2,0,0,2,5,8,11,1,1,2,1,0,0,11,17,36,42,1,1,0,2,0,0,9,19,24,36,0,0,0,0,0,0,6,15,35,45,1,2,0,0,0,0,25,76,25,76,0,0,0,0,0,0,12,51,13,53,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Thiago Alves ""Pitbull""","Max Griffin ""Pain""","Thiago Alves ""Pitbull""",http://ufcstats.com/fight-details/59097097bc09cdef,2019-02-02,0,29,53,29,53,0,1,0,0,0,1,57,92,57,92,0,1,0,0,0,0,29,53,29,53,0,1,0,0,0,0,44,49,44,49,0,1,0,0,0,0,45,65,47,67,0,0,0,0,0,0,11,13,16,18,2,2,0,2,1,0,9,17,15,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Junior Albini ""Baby""","Jairzinho Rozenstruik ""Bigi Boy""","Junior Albini ""Baby""",http://ufcstats.com/fight-details/491b7d974254596d,2019-02-02,0,12,21,20,29,2,6,0,4,0,0,9,16,16,23,0,0,0,0,1,0,12,21,20,29,2,6,0,4,0,1,10,11,10,11,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
